Source,APAR Number,isSecurity,Title,Reported component name,Status,PE,HIPER,Submitted date,Closed date
WAS,PH61807,N,"WEBSPHERE ADMINISTRATIVE CONSOLE DISPLAYS INCORRECT USER STATUS ON THE ""ADMINISTRATIVE USER ROLES"" PANEL.",N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH64018,N,SET PERMISSIONS-POLICY HEADER FOR THE ADMIN CONSOLE,WEBSPHERE FOR Z,CLOSED  PER,NoPE,NoHIPER,2024-11-06,2025-05-22
WAS,PH66923,N,OOM HEAP ISSUE WHILE NAVIGATING ON ADMIN CONSOLE-LOGGING PANEL,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH67096,N,CHANGES TO THE CLIENTMODE PROPERTY ARE NOT SAVED IN ADMINISTRATIVE CONSOLE AND WSADMIN,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68469,N,THE LAYOUT OF SAVE CHANGES MESSAGE PAGE IS WRONG IN CHINESE,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH20984,N,POTENTIAL DEADLOCK WHEN RECEIVING SIB JMS MESSAGES USING READAHEAD,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH65934,N,9.0.5.24/1.0.0.1 UPDATES FOR MANAGED LIBERTY SERVERS,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH66494,N,REMOVE DEPRECATED IBM SUPPORT ASSISTANT DATA COLLECTION TOOL FROM WEBSPHERE APPLICATION SERVER 8.5.5 AND 9.0.5,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH66510,N,SAML WEB INBOUND FILTERS ARE NOT WORKING PROPERLY,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH66834,N,MEMORY ISSUE WITH IBM_HTTP_SERVER - ODRLIB,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH66962,N,UPGRADE COMMONS BEANUTILS TO 1.11.0 FROM 1.9.4,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH67137,Y,IBM WebSphere Application Server is affected by a denial of service due to Apache Commons FileUpload (CVE-2025-48976 CVSS 7.5),N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68008,N,ADDHTTPSESSIONATTRIBUTELISTENER ARRAYINDEXOUTOFBOUNDSEXCEPTION OCCURRED AND THE APPLICATION DID NOT START,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68016,N,BUTTON LEADING TO BLANK PAGE IN SHARED LIBRARIES,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68117,N,UPGRADE COMMONS-LANG PREREQ FOR PREREQ.JAXRS,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68418,Y,IBM WebSphere Application Server is affected by SMTP injection due to Jakarta Mail (CVE-2025-7962 CVSS 7.5),N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH62104,N,FAIL TO APPLY IHS V8.5.5.25 DUE TO VISUAL C++ 2022 REDISTRIBUTABLE PACKAGE INSTALLATION FAILURE,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH67377,N,UNABLE TO EXPAND DYNAMIC CLUSTER,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH69282,N,"RUNTIME OPERATIONS -> APPLICATION. ""AN UNEXPECTED ERROR HAS OCCURRED. CHECK THE LOGS FOR DETAILS AND CONTACT IBM SUPPORT.""",N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH67656,N,ROLLBACK() SHOULD NOT BE CALLED WHILE IN AUTO-COMMIT MODE. J2CA0081E: METHOD DESTROY FAILED WHILE TRYING TO EXECUTE METHOD,N/A,N/A,N/A,N/A,N/A,N/A
WAS,PH68776,N,NULLPOINTEREXCEPTION OCCURS IN WEBSPHERE APPLICATION SERVER V9.0.5.24,N/A,N/A,N/A,N/A,N/A,N/A
